Listing cat.,Major group,Scientific name,Common name,Type of non-nativity of English population,Pathway of introduction,Pathway details,Native range (continent),Native range (area),Comments,References,Place first record outside captivity or cultivation,Date of introduction (1),Date of introduction (2),Date first wild report,Persistence in wild,Distr_NE_CN,Distr_NW_SN,Distr_Yo_EC,Distr_EM_WC,Distr_WM_BC,Distr_EE_NC,Distr_SE_SC,Distr_SW_IS,Distr_Lo,English as proportion,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Current trend,Direct economic value,Economic impact,Modeofeconimpact,Conservation status,Environmental impact,Modeofenvironimpact,Population trend (20 yr),Control methods,Other info,BRC number,NBN system number,Date1,Date2,Date3,Date,Compiler,Institution
A,12,Clavopsella navis,hydroid (Cnidaria),I,T,Probably ship-assisted.,Unk,,"A UK Biodiversity Action Plan species, only recorded from 3 locations worldwide",Barnes (1994),"Widewater Lagoon, West Sussex (VIId)",1973,,1973,E,,,EC,,,,,,,0,A3,,,,0,0,0,,CR,0,,0,0,,2222 50101,NBNSYS0000022293,1973,,1973,1973,IL,CEFAS
A,12,Gonionemus vertens,hydroid (Cnidaria),I,T,"Probably ship-assisted, but may also be an associated unintentional introduction with Pacific oysters.",As,,"Its spread is likely to have been influenced by movements of oysters, shipping and marginal spread of established populations",Edwards (1976),North Sea (IVb),1500,1913,1913,E,CN,SN,EC,WC,BC,NC,SC,IS,,0,A4,J5,,,0,0,0,,0,0,,0,0,,,NBNSYS0000182317,1500,1913,1913,1913,IL,CEFAS
A,12,Haliplanella lineata,Orange-striped anemone,I,T,"Probably ship-assisted, can also be transported on oysters.",As,,"Extension into brackish water is limited by its tolerance of low salinities which, below 12%o are ultimately lethal. It seems to be associated almost exclusively with mussels or oysters, even on ships' hulls.",Barnes (1994),,1850,1870,1860C,E,CN,SN,EC,WC,BC,NC,SC,IS,,0,A1,A4,,,0,0,0,,0,0,,0,0,,,NBNSYS0000175640,1850,1870,1860,1870,IL,CEFAS
A,13,Crassostrea gigas,Pacific oyster,I,R,Commercially valuable shellfish species,As,,Widely cultivated.,Spencer et al. (1994); Utting & Spencer (1992),"Rivers Exe, Teign and Dart (VIIe)",1965,1989,1989,P,CN,SN,EC,WC,BC,NC,SC,IS,,0,A1,A2,A4,A5,G,2,P,F,0,0,,G,D,,,NBNSYS0000174740,1965,1989,1989,1989,IL,CEFAS
A,13,Crepidula fornicata,Slipper limpet,I,T,Introduced in association with imported oysters and clams. This species may also be transported on ships' hulls and in ballast water in the pelagic larval phase.,NAm,,A serious pest on commercial native oyster beds.,McMillan (1938); Barnes et al. (1973),Essex (VIIc),1887,1890,1890,E,CN,SN,EC,WC,BC,NC,,IS,,0,A5,,,,0,1,NN,C,0,NN,H,0,D,,,NBNSYS0000174750,1887,1890,1890,1890,IL,CEFAS
A,13,Ensis directus,American jack knife clam,I,D,"Commercially valuable shellfish species, but possibly introduced via larval dispersal from ballast water mediated introductions elsewhere in Europe",NAm,Atlantic coast of N America,"Recruitment is varaible, but could support a fishery. Some environmental concerns over fishing method (suction dredging).",Essink (1986),"Holme Beach, Norfolk (VIIc)",1989,,1989,E,CN,SN,EC,,,,,,,0,A5,A2,,,0,2,P,F,0,0,,0,D,,,,1989,,1989,1989,IL,CEFAS
A,13,Mercenaria mercenaria,American hard-shelled clam,I,R,Commercially valuable shellfish species,NAm,"East Coast of N America, Mexico to Nova Scotia",It filled the niche left by the cold weather die-off of the soft-shelled clam Mya. Elevated estuarine temperatures are likely to favour the spread of this species in British waters.,Ansell (1963); Heppell (1961),Southampton Water (VIId),1925,,1925,E,,SN,EC,,,,,,,0,A5,A2,,,0,1,P,F,0,0,,0,D,,,NBNSYS0000176422,1925,,1925,1925,IL,CEFAS
A,13,Mya arenaria,Soft-shelled clam,I,R,"It may have been deliberately introduced for food or bait, or larvae may have been transported accidentally in the bilges of ships",NAm,,Fossils show it was previously native to Europe becoming extinct during the Pleistocene Epoch. It was introduced either by the Vikings or during the 16th or 17th century and has become re-established.,Foster (1946); Petersen et al. (1992),,1245,1600,1600<,E,CN,SN,EC,WC,BC,NC,SC,IS,,0,A5,A2,,,0,0,0,,0,0,,0,0,,,NBNSYS0000176553,1245,1600,1600,1600,IL,CEFAS
A,13,Mytilopsis leucophaeta,False dark mussel,I,T,It is not clear whether it has arrived in Britain from the continent or its native America,NAm,,,Eno et al. (1997),Cardiff Docks (VIIf),1835,1996,1996,E,,SN,,,BC,NC,SC,,,0,A2,,,,0,0,0,,0,0,,G,0,,,,1835,1996,1996,1996,IL,CEFAS
A,13,Petricola pholadiformis,American piddock,I,T,An associated unintentional introduction with the American oyster,NAm,,"In Belgium and The Netherlands it has almost completely replaced the native piddock. In Britain, however, there is no documentary evidence for this.",Duval (1963); Naylor (1957),"River Crouch, Essex (VIIc)",1870,1890,1890,E,CN,SN,EC,WC,,,,,,0,A1,A2,,,0,0,0,,0,0,,0,0,,,NBNSYS0000177086,1870,1890,1890,1890,IL,CEFAS
A,13,Tapes philippinarum,Manila clam,I,R,Commercially valuable shellfish species,As,Japan,Cultivated at various sites but only self sustaining population is in Poole Harbour.,Utting & Spencer (1992),Poole harbour (VIId),1982,1988,1988,E,,,EC,,,,,,,0,A5,A2,,,0,2,P,F,0,0,,G,D,,,NBNSYS0000178284,1982,1988,1988,1988,IL,CEFAS
A,13,Tiostrea lutaria,New Zealand flat oyster,I,R,Commercially valuable shellfish species,Aus,New Zealand,"Introduced as an alternative species to the native Ostrea edulis but not taken up as shown to be also susceptible to the disease Bonamiasis. Adults release larvae competent to settle, restricting rate of spread.",Utting & Spencer (1992); Richardson et al. (1993),Menai Strait (VIIa),1963,1970,1970,E,,,,,,NC,,,,0,A5,A4,A2,A1,G,0,0,,0,0,,G,0,,,,1963,1970,1970,1970,IL,CEFAS
